,molecule_chembl_id,canonical_smiles
163,CHEMBL2323356,CCOc1ccc(/C=N/NC(=O)CN2CCC(Cc3ccccc3)CC2)cc1
164,CHEMBL2323355,COc1ccc(/C=N/NC(=O)CN2CCC(Cc3ccccc3)CC2)cc1
165,CHEMBL2323354,COc1ccc(/C=N/NC(=O)CN2CCC(Cc3ccccc3)CC2)cc1OC
166,CHEMBL2323353,CCOc1ccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)cc1
167,CHEMBL2323352,COc1ccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)cc1
168,CHEMBL2323351,COc1ccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)cc1OC
169,CHEMBL2381388,O=C(/C=C/c1ccccc1)c1cccc(CN2CCN(Cc3ccccc3)CC2)c1
170,CHEMBL2381389,CCN(CC)Cc1cccc(C(=O)/C=C/c2ccc3ccccc3c2)c1
171,CHEMBL2381390,CCN(CC)Cc1cccc(C(=O)/C=C/c2ccc(OC)c(OC)c2)c1
172,CHEMBL2381391,COc1ccc(/C=C/C(=O)c2cccc(CN3CCN(Cc4ccccc4)CC3)c2)cc1OC
173,CHEMBL2380323,CCN(CC)Cc1cccc(C(=O)/C=C/c2ccc(OC)cc2)c1
174,CHEMBL2381392,COc1ccc(/C=C/C(=O)c2cccc(CN3CCC(c4ccccc4)CC3)c2)cc1
175,CHEMBL2381393,COc1ccc(/C=C/C(=O)c2cccc(CN3CCN(Cc4ccccc4)CC3)c2)cc1
176,CHEMBL2381394,CCN(CC)Cc1cccc(C(=O)/C=C/c2cccc(OC)c2)c1
177,CHEMBL2381395,COc1cccc(/C=C/C(=O)c2cccc(CN3CCC(c4ccccc4)CC3)c2)c1
178,CHEMBL2381396,COc1cccc(/C=C/C(=O)c2cccc(CN3CCN(Cc4ccccc4)CC3)c2)c1
179,CHEMBL2381397,CCN(CC)Cc1cccc(C(=O)/C=C/c2ccc(F)cc2)c1
180,CHEMBL2381398,CCN(CC)Cc1cccc(C(=O)/C=C/c2ccc(Cl)cc2)c1
181,CHEMBL2381399,CCN(CC)Cc1cccc(C(=O)/C=C/c2ccc(Br)cc2)c1
182,CHEMBL2381400,CCN(CC)Cc1cccc(C(=O)/C=C/c2ccc(-c3ccccc3)cc2)c1
183,CHEMBL2381401,COc1ccc2cc(C(=O)CN3CCN(Cc4ccccc4)CC3)c(=O)oc2c1
184,CHEMBL2381402,COc1ccc2cc(C(=O)CN3CCC(c4ccccc4)CC3)c(=O)oc2c1
185,CHEMBL2381403,COc1ccc2cc(C(=O)CN3CCN(c4ccccc4)CC3)c(=O)oc2c1
186,CHEMBL2381383,COc1ccc2cc(C(=O)CN3CCN(c4ccccn4)CC3)c(=O)oc2c1
187,CHEMBL2381384,COc1ccc2cc(C(=O)CN3CCN(c4ncccn4)CC3)c(=O)oc2c1
